TEXT_REMARKS,ACTION_CATEGORY,PREDICTED_DEPARTMENT,CONFIDENCE_SCORE,CONFIDENCE_RANGE,MATCH_STATUS
Consumer refused to test the meter so meter could not be tested at site,Back-Office / Administrative Operations,Back-Office / Administrative Operations,94.74,100-90% Very High,Correct
Consumer want Some time for meter testing as he is not available for meter testing At the time of visit premises found locked,Back-Office / Administrative Operations,Field Operations / Meter Testing,57.25,75-50% Medium,Wrong
Mentioned meter is not found at mentioned address meter is not traceable therefore same couldnt be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,97.31,100-90% Very High,Correct
Meter not found on Specified location also wrong numbers are been provided so no communication could be build for tracing meter,Field Operations / Meter Testing,Field Operations / Meter Testing,95.92,100-90% Very High,Correct
Address Not found At the Mentioned pole So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,86.57,90-75% High,Correct
Address Not found At the Mention Pole Mobile number Available but not Proper response So Meter not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,95.81,100-90% Very High,Correct
No responsible person found at site also no response on telecommunication hence meter is not traceable therefore same couldnt be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,93.63,100-90% Very High,Correct
Adress not found At the Mention pole And mobile number Available but Mobile number Not Correct So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,94.46,100-90% Very High,Correct
Address Not found At the Mention Pole Mobile number Available but Cansumer Not Corrective Response So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,94.47,100-90% Very High,Correct
Address Not found At the Mention pole And mobile number Available but Mobile not proper response So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,95.27,100-90% Very High,Correct
Address Not found At the Mention Pole Mobile number Available but not Proper Corrective Response So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,94.96,100-90% Very High,Correct
meter not found on pole and Contact number not found in ffa,Field Operations / Meter Testing,Field Operations / Meter Testing,68.19,75-50% Medium,Correct
Adress not found At the Mention pole Mobile number Available but Mobile number Not Corrective Response So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,89.81,90-75% High,Correct
INSUFFICIENT LOAD FOUND AT SITE SO METER COULD NOT BE TESTED,Field Operations / Meter Testing,Field Operations / Meter Testing,99.35,100-90% Very High,Correct
Consumer going to Village Consumer want some time in week,Back-Office / Administrative Operations,Back-Office / Administrative Operations,91.9,100-90% Very High,Correct
as per telephonic talk with consumer consumer not available at site consumer want some time for meter testing,Back-Office / Administrative Operations,Back-Office / Administrative Operations,92.66,100-90% Very High,Correct
Low Voltage in R Phase from solar panel and hence no solar generation found due the same meter could not tested and rectication required from solar panel end Discuss with electrician sh Hawaldar,Network / Zone Maintenance Team,Network / Zone Maintenance Team,75.64,90-75% High,Correct
Enforcement ir found on meter,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,82.97,90-75% High,Correct
Mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of Class,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.2,100-90% Very High,Correct
Mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of Class,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.2,100-90% Very High,Correct
Mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of Class,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.2,100-90% Very High,Correct
Meter tested as per all safety normsAll display parameters found OK at the time of meter testing Meter need to replace under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,94.68,100-90% Very High,Correct
Mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of Class,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.2,100-90% Very High,Correct
Meter tested as per all safety normsAll display parameters found OK at the time of meter testing Meter need to replace under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,94.68,100-90% Very High,Correct
Meter tested as per safety norms meter accuracy found within limit at the time of testingmeter found NonReprogramm at site so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,94.43,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.31,100-90% Very High,Correct
