SR_NO,TEXT_REMARKS,ACTION_CATEGORY,HOLD_CANCEL_REASON,processed_text
14,mentioned meter is not found at mentioned address meter is not traceable therefore same couldnt be tested,,D030,mention meter mention addres meter traceable test
6,consumer want some time for meter testing as he is not available for meter testing at the time of visit premises found locked,,D120,consumer want time meter test available meter test time visit premise lock
170,enforcement ir found on meter,,D168,enforcement ir meter
174,mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of class,,D255,mechanical meter site accuracy meter limit meter need replac mas meter category meter clas
572,meter already replaced,,D270,meter replac
778,site unsafe for meter testing discuss with consumer sh ravinder dabas phone no,,D271,site unsafe meter test discus consumer sh ravinder daba phone
1418,meter box cover found damage at the time of testing so meter could not be test,,D275,meter box cover damage time test meter test
1450,meter not traceable at site given pole number or address is wrong,,D315,meter traceable site given pole number addres wrong
1583,meter calibration pluse not belinking at load alongwith no display and meter terminal found melt at the time of testing so meter suspected refered to enforcement inspection,,D320,meter calibration pluse belink load alongwith display meter terminal melt time test meter suspect refer enforcement inspection
1971,nutral not present from pole at the time of testing so meter could not be test discuss with consumer sh uamesh phone no,,D330,nutral present pole time test meter test discus consumer sh uamesh phone
1567,meter retain as per system,,D360,meter retain
2150,no person at side and no response on said phone at the time of testing so meter could not be test,,D385,person response said phone time test meter test
2858,one phase missing in supply from pole so case refer to zone for further rectification,,D395,phase miss supply pole case refer zone rectification
2915,solar panel not working at the time of testing so meter could not be test discuss with consumer sh jamshed phone no,,D400,solar panel work time test meter test discus consumer sh jamsh phone
2920,premises found locked thatsway meter couldnt be tested,,D430,premise lock thatsway meter test
4288,premises is found sealed by mcd and meter is installed inside the premises therefore same meter couldnt be tested photographs has been attached,,D440,premise seal mcd meter install inside premise meter test photograph attach
2215,meter terminal meter box both seals are not found so meter could not be tested refer to ceg,,D460,meter terminal meter box seal meter test refer ceg
2010,meter rtc fail at the time of testing so meter needs to replacement required,,D490,meter rtc fail time test meter need replacement requir
13685,site under construction so meter could not be tested at site,,D500,site construction meter test site
