TEXT_REMARKS,ACTION_CATEGORY,PREDICTED_DEPARTMENT,CONFIDENCE_SCORE,CONFIDENCE_RANGE,MATCH_STATUS,IS_MATCH
Consumer refused to test the meter so meter could not be tested at site,Back-Office / Administrative Operations,Back-Office / Administrative Operations,99.78,100-90% Very High,Correct,TRUE
Consumer want Some time for meter testing as he is not available for meter testing At the time of visit premises found locked,Back-Office / Administrative Operations,Back-Office / Administrative Operations,97.03,100-90% Very High,Correct,TRUE
Mentioned meter is not found at mentioned address meter is not traceable therefore same couldnt be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.92,100-90% Very High,Correct,TRUE
Meter not found on Specified location also wrong numbers are been provided so no communication could be build for tracing meter,Field Operations / Meter Testing,Field Operations / Meter Testing,99.77,100-90% Very High,Correct,TRUE
Address Not found At the Mentioned pole So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.85,100-90% Very High,Correct,TRUE
Address Not found At the Mention Pole Mobile number Available but not Proper response So Meter not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.81,100-90% Very High,Correct,TRUE
No responsible person found at site also no response on telecommunication hence meter is not traceable therefore same couldnt be tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.64,100-90% Very High,Correct,TRUE
Adress not found At the Mention pole And mobile number Available but Mobile number Not Correct So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.48,100-90% Very High,Correct,TRUE
Address Not found At the Mention Pole Mobile number Available but Cansumer Not Corrective Response So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.77,100-90% Very High,Correct,TRUE
Address Not found At the Mention pole And mobile number Available but Mobile not proper response So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.61,100-90% Very High,Correct,TRUE
Address Not found At the Mention Pole Mobile number Available but not Proper Corrective Response So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,99.25,100-90% Very High,Correct,TRUE
meter not found on pole and Contact number not found in ffa,Field Operations / Meter Testing,Field Operations / Meter Testing,85.93,90-75% High,Correct,TRUE
Adress not found At the Mention pole Mobile number Available but Mobile number Not Corrective Response So Meter could not be Tested,Field Operations / Meter Testing,Field Operations / Meter Testing,97.32,100-90% Very High,Correct,TRUE
INSUFFICIENT LOAD FOUND AT SITE SO METER COULD NOT BE TESTED,Field Operations / Meter Testing,Field Operations / Meter Testing,99.98,100-90% Very High,Correct,TRUE
Consumer going to Village Consumer want some time in week,Back-Office / Administrative Operations,Back-Office / Administrative Operations,98.72,100-90% Very High,Correct,TRUE
as per telephonic talk with consumer consumer not available at site consumer want some time for meter testing,Back-Office / Administrative Operations,Back-Office / Administrative Operations,99.52,100-90% Very High,Correct,TRUE
Low Voltage in R Phase from solar panel and hence no solar generation found due the same meter could not tested and rectication required from solar panel end Discuss with electrician sh Hawaldar,Network / Zone Maintenance Team,Network / Zone Maintenance Team,92.84,100-90% Very High,Correct,TRUE
Enforcement ir found on meter,CEG / Enforcement / Vigilance Team,No Action Needed,78.96,90-75% High,Wrong,FALSE
Mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of Class,Meter Replacement / Installation Team,No Action Needed,96,100-90% Very High,Wrong,FALSE
Mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of Class,Meter Replacement / Installation Team,No Action Needed,96,100-90% Very High,Wrong,FALSE
Mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of Class,Meter Replacement / Installation Team,No Action Needed,96,100-90% Very High,Wrong,FALSE
Meter tested as per all safety normsAll display parameters found OK at the time of meter testing Meter need to replace under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,95.74,100-90% Very High,Correct,TRUE
Mechanical meter found at site accuracy of meter is within the limit but the meter needs to be replaced under mass meter category as meter is of Class,Meter Replacement / Installation Team,No Action Needed,96,100-90% Very High,Wrong,FALSE
Meter tested as per all safety normsAll display parameters found OK at the time of meter testing Meter need to replace under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,95.74,100-90% Very High,Correct,TRUE
Meter tested as per safety norms meter accuracy found within limit at the time of testingmeter found NonReprogramm at site so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,96.33,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
Meter accuracy found OK at the time of meter testing but mechanical meter found at site meter is of Class hence replacement required for same under mass meter category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.84,100-90% Very High,Correct,TRUE
